episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.19327470799908042,True,False
2,430.0,712,1097,0.2,0.02337483789480757,0.8215452909935266,True,False
3,860.0,668,1765,0.2,0.02645719756074612,3.0148416250012815,True,False
4,300.0,488,2253,0.2,0.03027023059186205,4.635881624999456,True,False
5,670.0,577,2830,0.2,0.031552272352402926,6.571018166025169,True,False
6,1130.0,632,3462,0.2,0.030908076166649808,8.667089290975127,True,False
7,440.0,588,4050,0.2,0.034101530551184984,10.622752041032072,True,False
8,300.0,397,4447,0.2,0.03081784097741198,11.96385741600534,True,False
9,620.0,663,5110,0.2,0.033591659115108446,14.294473999994807,True,False
10,230.0,442,5552,0.2,0.03177164022198266,15.959412374999374,True,False
11,430.0,497,6049,0.2,0.034917068031180894,17.660840582975652,True,False
12,460.0,509,6558,0.2,0.039596153836602005,19.355065540992655,True,False
13,230.0,368,6926,0.2,0.0361404002051922,20.621169041027315,True,False
14,550.0,654,7580,0.2,0.03621764156382486,22.722724999999627,True,False
15,740.0,808,8388,0.2,0.03606930618533994,25.400329374999274,True,False
16,310.0,387,8775,0.2,0.035782240811386146,26.70911499997601,True,False
17,700.0,628,9403,0.2,0.036607768141907776,28.72331320802914,True,False
18,520.0,466,9869,0.2,0.03966537325316642,30.22114033298567,True,False
19,440.0,475,10344,0.2,0.03755748592622328,31.760901874979027,True,False
20,550.0,503,10847,0.2,0.038483819399029014,33.41217029100517,True,False
21,530.0,467,11314,0.2,0.03978339765563162,34.932170458021574,True,False
22,320.0,549,11863,0.2,0.03928465193416243,36.668839999998454,True,False
23,310.0,507,12370,0.2,0.03556682133687821,38.3386321659782,True,False
24,500.0,502,12872,0.2,0.03681965818303445,40.010710957983974,True,False
25,850.0,764,13636,0.2,0.03867895621806383,42.51221424998948,True,False
26,810.0,683,14319,0.2,0.0382201772676233,46.345381166029256,True,False
27,700.0,934,15253,0.2,0.03946029314866815,49.655162499984726,True,False
28,300.0,434,15687,0.2,0.036514862440526485,51.12509179097833,True,False
29,610.0,496,16183,0.2,0.03636588261748153,52.82486495800549,True,False
30,350.0,393,16576,0.2,0.0337524748397897,54.17174737498863,True,False
31,310.0,452,17028,0.2,0.03556288754468603,55.80227354099043,True,False
32,230.0,351,17379,0.2,0.035529840202338396,57.09669708297588,True,False
33,500.0,670,18049,0.2,0.03709617090256264,59.40967845800333,True,False
34,270.0,505,18554,0.2,0.040994522461135476,61.11704604100669,True,False
35,310.0,482,19036,0.2,0.042527237737720665,62.735686415981036,True,False
36,1120.0,789,19825,0.2,0.044117454255028124,65.36356099997647,True,False
37,1390.0,842,20667,0.2,0.04874206754334626,68.1593724580016,True,False
38,390.0,452,21119,0.2,0.04845576552855494,69.70096004102379,True,False
39,1850.0,936,22055,0.2,0.04637254830290619,72.75606354099,True,False
40,360.0,401,22456,0.2,0.04940987807136066,74.08647395798471,True,False
41,360.0,420,22876,0.2,0.045980211950483775,75.47105458303122,True,False
42,630.0,596,23472,0.2,0.04883589083016319,77.44207308301702,True,False
43,360.0,442,23914,0.2,0.05394074483351274,78.91018833301496,True,False
44,450.0,588,24502,0.2,0.05203621544982909,80.86212791601429,True,False
45,450.0,493,24995,0.2,0.05238129703206866,82.48461458302336,True,False
46,750.0,538,25533,0.2,0.050870507376061545,84.26515345799271,True,False
47,460.0,469,26002,0.2,0.053760914848400995,85.83178504102398,True,False
48,490.0,539,26541,0.2,0.05702400800806505,87.60861983301584,True,False
49,420.0,488,27029,0.2,0.052987246945897334,89.22097333299462,True,False
50,820.0,633,27662,0.2,0.06643456609070866,91.31333516602172,True,False
51,270.0,487,28149,0.2,0.05814354575132249,94.42899379099254,True,False
52,460.0,560,28709,0.2,0.06883021904421704,96.32502045802539,True,False
53,330.0,344,29053,0.2,0.05494065511278635,97.51687208301155,True,False
54,430.0,453,29506,0.2,0.07040517045333322,99.11428749997867,True,False
55,410.0,434,29940,0.2,0.06345787434197894,100.58208358299453,True,False
56,540.0,594,30534,0.2,0.07248810788213804,102.55017670802772,True,False
57,1390.0,649,31183,0.2,0.07732270887397506,104.70554020802956,True,False
58,360.0,425,31608,0.2,0.0773390735125291,106.13409354101168,True,False
59,480.0,702,32310,0.2,0.08358042908034154,108.43512325000484,True,False
60,520.0,551,32861,0.2,0.06614229537249691,110.24711358302739,True,False
61,300.0,445,33306,0.2,0.07618858230610688,111.71825341600925,True,False
62,880.0,762,34068,0.2,0.08370060557548288,114.21130258298945,True,False
63,600.0,602,34670,0.2,0.07691688494756818,116.18511754099745,True,False
64,660.0,717,35387,0.2,0.07412025943793897,118.56460895802593,True,False
65,580.0,691,36078,0.2,0.0620098134362801,120.84298433299409,True,False
66,410.0,470,36548,0.2,0.0713845331979505,122.38170112500666,True,False
67,490.0,468,37016,0.2,0.0690090141665095,123.91929900000105,True,False
68,1090.0,746,37762,0.2,0.07197066631308326,126.34854508301942,True,False
69,380.0,551,38313,0.2,0.0650142613676903,128.16175370803103,True,False
70,500.0,633,38946,0.2,0.08111459819623563,130.24017533299047,True,False
71,290.0,391,39337,0.2,0.06555783932990565,131.5486869160086,True,False
72,470.0,487,39824,0.2,0.07704243918147977,133.15711658302462,True,False
73,380.0,474,40298,0.2,0.07524858547721879,134.72528695798246,True,False
74,590.0,533,40831,0.2,0.07893466603543077,136.48442175000673,True,False
75,510.0,474,41305,0.2,0.07939654175473862,138.05618029099423,True,False
76,310.0,389,41694,0.2,0.07855012055640061,140.65915312501602,True,False
77,480.0,391,42085,0.2,0.07834489345170405,141.97293662501033,True,False
78,420.0,489,42574,0.2,0.08728643541117428,143.60288449999643,True,False
79,750.0,627,43201,0.2,0.08740465186393945,145.7700560829835,True,False
80,1260.0,740,43941,0.2,0.08979317201049747,148.20353237498784,True,False
81,560.0,596,44537,0.2,0.08870007787149825,150.17826187500032,True,False
82,500.0,725,45262,0.2,0.09324868231270854,152.58049354102695,True,False
83,950.0,772,46034,0.2,0.08621273506336262,155.12348399998154,True,False
84,1250.0,735,46769,0.2,0.0832465508340291,157.543996833032,True,False
85,1630.0,788,47557,0.2,0.08236638886315115,160.1218993330258,True,False
86,700.0,623,48180,0.2,0.0764303761235892,162.1718871659832,True,False
87,640.0,570,48750,0.2,0.08018391768277532,164.05452329100808,True,False
88,550.0,559,49309,0.2,0.09639970644244127,165.9293426250224,True,False
89,490.0,615,49924,0.2,0.08863422599947685,167.95588841597782,True,False
90,2300.0,983,50907,0.2,0.0800518710432308,171.17271708301269,True,False
