episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
91,420.0,430,51337,0.2,0.09795969162412264,172.59811908297706,True,False
92,1800.0,1029,52366,0.2,0.08856714592253652,175.96873054100433,True,False
93,860.0,734,53100,0.2,0.07746519591740292,178.38352320803097,True,False
94,2520.0,1189,54289,0.2,0.07444896288090683,182.2837320829858,True,False
95,560.0,564,54853,0.2,0.07699858439518205,184.14118704100838,True,False
96,480.0,547,55400,0.2,0.07987575371661325,185.95827037497656,True,False
97,740.0,735,56135,0.2,0.07749357702505719,188.35701562499162,True,False
98,780.0,640,56775,0.2,0.08138637659139931,190.47099662502296,True,False
99,490.0,471,57246,0.2,0.0677814504636799,192.03459345799638,True,False
100,490.0,555,57801,0.2,0.08178145943624938,193.86722470802488,True,False
